date,org_name,metric,category_1,category_2,category_3,category_4
2017-08-01,England (Average of all regions),Mean,9.233333333,23.91666667,50.68333333,81.41666667
2017-08-01,England (Average of all regions),90th percentile,15.2,53.15,118.0833333,152.8166667
2017-08-01,North East and Yorkshire,Mean,,,,
2017-08-01,North East and Yorkshire,90th percentile,,,,
2017-08-01,North West,Mean,10.11666667,24.33333333,42.7,84.2
2017-08-01,North West,90th percentile,15.98333333,55.9,97.48333333,154.35
2017-08-01,Midlands,Mean,8,23.41666667,61.11666667,55.2
2017-08-01,Midlands,90th percentile,14.08333333,49.76666667,144.9333333,138.3833333
2017-08-01,East of England,Mean,,,,
2017-08-01,East of England,90th percentile,,,,
2017-08-01,London,Mean,,,,
2017-08-01,London,90th percentile,,,,
2017-08-01,South East,Mean,,,,
2017-08-01,South East,90th percentile,,,,
2017-08-01,South West,Mean,,,,
2017-08-01,South West,90th percentile,,,,
2017-09-01,England (Average of all regions),Mean,8.116666667,21.98333333,48.53333333,77.91666667
2017-09-01,England (Average of all regions),90th percentile,14.25,46.8,113.2333333,164.9166667
2017-09-01,North East and Yorkshire,Mean,7.233333333,21.31666667,47.3,82.25
2017-09-01,North East and Yorkshire,90th percentile,13.46666667,44.81666667,109.3333333,195.0666667
2017-09-01,North West,Mean,9.833333333,25.08333333,51.1,88.98333333
2017-09-01,North West,90th percentile,16.35,56.21666667,118.35,161.9
2017-09-01,Midlands,Mean,7.55,19.83333333,47.56666667,58.96666667
2017-09-01,Midlands,90th percentile,13.28333333,40.25,111.7666667,151.55
2017-09-01,East of England,Mean,,,,
2017-09-01,East of England,90th percentile,,,,
2017-09-01,London,Mean,,,,
2017-09-01,London,90th percentile,,,,
2017-09-01,South East,Mean,,,,
2017-09-01,South East,90th percentile,,,,
2017-09-01,South West,Mean,,,,
2017-09-01,South West,90th percentile,,,,
2017-10-01,England (Average of all regions),Mean,7.916666667,21.93333333,44.83333333,68.51666667
2017-10-01,England (Average of all regions),90th percentile,13.71666667,46.7,104.6166667,151.1833333
2017-10-01,North East and Yorkshire,Mean,7.183333333,19.63333333,40.33333333,67.31666667
2017-10-01,North East and Yorkshire,90th percentile,13.28333333,41.35,91.7,173.0833333
2017-10-01,North West,Mean,9.483333333,25.98333333,51.9,81.28333333
2017-10-01,North West,90th percentile,15.6,57.81666667,122.1333333,150.1833333
2017-10-01,Midlands,Mean,7.383333333,19.9,43.1,51.81666667
2017-10-01,Midlands,90th percentile,12.76666667,40.73333333,100.8333333,140.85
2017-10-01,East of England,Mean,,,,
2017-10-01,East of England,90th percentile,,,,
2017-10-01,London,Mean,,,,
2017-10-01,London,90th percentile,,,,
2017-10-01,South East,Mean,,,,
2017-10-01,South East,90th percentile,,,,
2017-10-01,South West,Mean,,,,
2017-10-01,South West,90th percentile,,,,
2017-11-01,England (Average of all regions),Mean,7.95,22.75,54.18333333,80.48333333
2017-11-01,England (Average of all regions),90th percentile,13.8,47.73333333,126.9666667,182.3166667
2017-11-01,North East and Yorkshire,Mean,7.25,20.23333333,65.75,74.95
2017-11-01,North East and Yorkshire,90th percentile,12.81666667,41.9,152.0333333,186.9166667
2017-11-01,North West,Mean,9.733333333,30.56666667,52.28333333,84.28333333
2017-11-01,North West,90th percentile,16.23333333,70.31666667,121.9833333,156
2017-11-01,Midlands,Mean,7.633333333,22.28333333,44.2,50.46666667
2017-11-01,Midlands,90th percentile,13.43333333,45.71666667,102.3,129.6333333
2017-11-01,East of England,Mean,8.683333333,24.45,72.78333333,96.1
2017-11-01,East of England,90th percentile,15.78333333,49.15,180,232.9333333
2017-11-01,London,Mean,7.066666667,18.45,56.86666667,72.1
